date,is_holiday,is_weekday,weather_situation,temp_celsius,apparent_temp_celsius,humidity_percent,windspeed_kph,casual_users,registered_users,total_users,day_name,windspeed_outlier,is_holiday_check,is_weekday_check,weather_situation_check
24-03-2011 00:00,NO,YES,2,5.5,2,76,15,166,1699,1865,Thursday,FALSE,Valid,Valid,Valid
25-03-2011 00:00,NO,YES,1,4.5,3,44,17,300,1910,2210,Friday,FALSE,Valid,Valid,Valid
26-03-2011 00:00,NO,NO,1,4,2,42,13,981,1515,2496,Saturday,FALSE,Valid,Valid,Valid
27-03-2011 00:00,NO,NO,2,4,3,45,12,472,1221,1693,Sunday,FALSE,Valid,Valid,Valid
28-03-2011 00:00,NO,YES,1,4,3,26,15,222,1806,2028,Monday,FALSE,Valid,Valid,Valid
29-03-2011 00:00,NO,YES,1,7.5,4.5,28,17,317,2108,2425,Tuesday,FALSE,Valid,Valid,Valid
30-03-2011 00:00,NO,YES,2,7,5,57,15,168,1368,1536,Wednesday,FALSE,Valid,Valid,Valid
31-03-2011 00:00,NO,YES,3,4.5,1.5,93,15,179,1506,1685,Thursday,FALSE,Valid,Valid,Valid
01-04-2011 00:00,NO,YES,2,7,4,61,17,307,1920,2227,Friday,FALSE,Valid,Valid,Valid
02-04-2011 00:00,NO,NO,2,7,4.5,65.5,11,898,1354,2252,Saturday,FALSE,Valid,Valid,Valid
03-04-2011 00:00,NO,NO,1,11,11,44,13,1651,1598,3249,Sunday,FALSE,Valid,Valid,Valid
04-04-2011 00:00,NO,YES,1,22,21.5,43,25,734,2381,3115,Monday,FALSE,Valid,Valid,Valid
05-04-2011 00:00,NO,YES,2,10,6,60,28,167,1628,1795,Tuesday,TRUE,Valid,Valid,Valid
06-04-2011 00:00,NO,YES,1,12.5,12.5,41,18,413,2395,2808,Wednesday,FALSE,Valid,Valid,Valid
07-04-2011 00:00,NO,YES,1,12,12,63,13,571,2570,3141,Thursday,FALSE,Valid,Valid,Valid
08-04-2011 00:00,NO,YES,2,8,6,87,15,172,1299,1471,Friday,FALSE,Valid,Valid,Valid
09-04-2011 00:00,NO,NO,2,9,8,87,9,879,1576,2455,Saturday,FALSE,Valid,Valid,Valid
10-04-2011 00:00,NO,NO,2,11.5,11.5,88,9,1188,1707,2895,Sunday,FALSE,Valid,Valid,Valid
11-04-2011 00:00,NO,YES,2,20.5,20.5,73,19.5,855,2493,3348,Monday,FALSE,Valid,Valid,Valid
12-04-2011 00:00,NO,YES,2,16,16,77,19,257,1777,2034,Tuesday,FALSE,Valid,Valid,Valid
13-04-2011 00:00,NO,YES,2,11.5,11.5,85,17,209,1953,2162,Wednesday,FALSE,Valid,Valid,Valid
14-04-2011 00:00,NO,YES,1,14,14,55,9,529,2738,3267,Thursday,FALSE,Valid,Valid,Valid
15-04-2011 00:00,YES,YES,1,13,13,67,17,642,2484,3126,Friday,FALSE,Valid,Valid,Valid
16-04-2011 00:00,NO,NO,3,12,12,88,22,121,674,795,Saturday,FALSE,Valid,Valid,Valid
17-04-2011 00:00,NO,NO,1,13.5,13.5,43,22,1558,2186,3744,Sunday,FALSE,Valid,Valid,Valid
18-04-2011 00:00,NO,YES,1,17,17,49,11,669,2760,3429,Monday,FALSE,Valid,Valid,Valid
19-04-2011 00:00,NO,YES,2,16,16,67.5,11,409,2795,3204,Tuesday,FALSE,Valid,Valid,Valid
20-04-2011 00:00,NO,YES,1,22,22,54.5,17,613,3331,3944,Wednesday,FALSE,Valid,Valid,Valid
21-04-2011 00:00,NO,YES,1,13.5,13.5,42.5,23,745,3444,4189,Thursday,FALSE,Valid,Valid,Valid
22-04-2011 00:00,NO,YES,2,8,5,66,15,177,1506,1683,Friday,FALSE,Valid,Valid,Valid
23-04-2011 00:00,NO,NO,2,14,14,88,15,1462,2574,4036,Saturday,FALSE,Valid,Valid,Valid
24-04-2011 00:00,NO,NO,2,19,19,83,13,1710,2481,4191,Sunday,FALSE,Valid,Valid,Valid
25-04-2011 00:00,NO,YES,1,21,21,74,15,773,3300,4073,Monday,FALSE,Valid,Valid,Valid
26-04-2011 00:00,NO,YES,1,22.5,22.5,74,22,678,3722,4400,Tuesday,FALSE,Valid,Valid,Valid
27-04-2011 00:00,NO,YES,2,22,22,83,19,547,3325,3872,Wednesday,FALSE,Valid,Valid,Valid
28-04-2011 00:00,NO,YES,2,22,22,78,22,569,3489,4058,Thursday,FALSE,Valid,Valid,Valid
29-04-2011 00:00,NO,YES,1,17,17,45,19,878,3717,4595,Friday,FALSE,Valid,Valid,Valid
30-04-2011 00:00,NO,NO,1,13,13,54,15,1965,3347,5312,Saturday,FALSE,Valid,Valid,Valid
01-05-2011 00:00,NO,NO,2,14,14,77,7,1138,2213,3351,Sunday,FALSE,Valid,Valid,Valid
02-05-2011 00:00,NO,YES,2,19.5,19.5,73,13,847,3554,4401,Monday,FALSE,Valid,Valid,Valid
03-05-2011 00:00,NO,YES,2,22,22,66.5,23,603,3848,4451,Tuesday,FALSE,Valid,Valid,Valid
04-05-2011 00:00,NO,YES,2,11,11,74.5,22,255,2378,2633,Wednesday,FALSE,Valid,Valid,Valid
05-05-2011 00:00,NO,YES,1,15.5,15.5,39,17,614,3819,4433,Thursday,FALSE,Valid,Valid,Valid
06-05-2011 00:00,NO,YES,1,14,14,62,11,894,3714,4608,Friday,FALSE,Valid,Valid,Valid
07-05-2011 00:00,NO,NO,1,18,18,49,11,1612,3102,4714,Saturday,FALSE,Valid,Valid,Valid
08-05-2011 00:00,NO,NO,1,17,17,63,6,1401,2932,4333,Sunday,FALSE,Valid,Valid,Valid
09-05-2011 00:00,NO,YES,1,17.5,17.5,56,13,664,3698,4362,Monday,FALSE,Valid,Valid,Valid
10-05-2011 00:00,NO,YES,1,17.5,17.5,52,8,694,4109,4803,Tuesday,FALSE,Valid,Valid,Valid
11-05-2011 00:00,NO,YES,1,17.5,17.5,61.5,9,550,3632,4182,Wednesday,FALSE,Valid,Valid,Valid
12-05-2011 00:00,NO,YES,1,18,18,78,13,695,4169,4864,Thursday,FALSE,Valid,Valid,Valid
13-05-2011 00:00,NO,YES,2,17,17,88,11,692,3413,4105,Friday,FALSE,Valid,Valid,Valid
14-05-2011 00:00,NO,NO,2,17,17,94,9,902,2507,3409,Saturday,FALSE,Valid,Valid,Valid
15-05-2011 00:00,NO,NO,2,18.5,18.5,85.5,9,1582,2971,4553,Sunday,FALSE,Valid,Valid,Valid
16-05-2011 00:00,NO,YES,1,19.5,19.5,83,9,773,3185,3958,Monday,FALSE,Valid,Valid,Valid
17-05-2011 00:00,NO,YES,2,19,19,88,20,678,3445,4123,Tuesday,FALSE,Valid,Valid,Valid
18-05-2011 00:00,NO,YES,2,18,18,88,15,536,3319,3855,Wednesday,FALSE,Valid,Valid,Valid
19-05-2011 00:00,NO,YES,2,17.5,17.5,88,6.5,735,3840,4575,Thursday,FALSE,Valid,Valid,Valid
20-05-2011 00:00,NO,YES,1,18.5,18.5,66,7,909,4008,4917,Friday,FALSE,Valid,Valid,Valid
21-05-2011 00:00,NO,NO,1,21.5,21.5,62.5,8,2258,3547,5805,Saturday,FALSE,Valid,Valid,Valid
22-05-2011 00:00,NO,NO,1,22,22,71,9,1576,3084,4660,Sunday,FALSE,Valid,Valid,Valid
23-05-2011 00:00,NO,YES,2,22,23,88,15,836,3438,4274,Monday,FALSE,Valid,Valid,Valid
24-05-2011 00:00,NO,YES,2,23.5,23.5,74,13,659,3833,4492,Tuesday,FALSE,Valid,Valid,Valid
25-05-2011 00:00,NO,YES,1,24.5,24.5,67,9,740,4238,4978,Wednesday,FALSE,Valid,Valid,Valid
26-05-2011 00:00,NO,YES,1,26.5,27.5,65.5,12,758,3919,4677,Thursday,FALSE,Valid,Valid,Valid
27-05-2011 00:00,NO,YES,1,25,25,65,17,871,3808,4679,Friday,FALSE,Valid,Valid,Valid
28-05-2011 00:00,NO,NO,1,24,24,74,15,2001,2757,4758,Saturday,FALSE,Valid,Valid,Valid
29-05-2011 00:00,NO,NO,1,24,25,83,15,2355,2433,4788,Sunday,FALSE,Valid,Valid,Valid
30-05-2011 00:00,YES,YES,1,27,29,70,7,1549,2549,4098,Monday,FALSE,Valid,Valid,Valid
31-05-2011 00:00,NO,YES,1,30,33,60.5,8,673,3309,3982,Tuesday,FALSE,Valid,Valid,Valid
01-06-2011 00:00,NO,YES,2,28,31,74,13,513,3461,3974,Wednesday,FALSE,Valid,Valid,Valid
02-06-2011 00:00,NO,YES,1,27,26,29.5,20,736,4232,4968,Thursday,FALSE,Valid,Valid,Valid
03-06-2011 00:00,NO,YES,1,22,21,34.5,19,898,4414,5312,Friday,FALSE,Valid,Valid,Valid
04-06-2011 00:00,NO,NO,1,23,23,46.5,7,1869,3473,5342,Saturday,FALSE,Valid,Valid,Valid
05-06-2011 00:00,NO,NO,2,23,23,65,11,1685,3221,4906,Sunday,FALSE,Valid,Valid,Valid
06-06-2011 00:00,NO,YES,1,24.5,24.5,59.5,9,673,3875,4548,Monday,FALSE,Valid,Valid,Valid
07-06-2011 00:00,NO,YES,1,27,28.5,59.5,12,763,4070,4833,Tuesday,FALSE,Valid,Valid,Valid
08-06-2011 00:00,NO,YES,1,31,34,62,9,676,3725,4401,Wednesday,FALSE,Valid,Valid,Valid
09-06-2011 00:00,NO,YES,2,30,32.5,50,10,563,3352,3915,Thursday,FALSE,Valid,Valid,Valid
10-06-2011 00:00,NO,YES,1,29,30.5,60.5,9,815,3771,4586,Friday,FALSE,Valid,Valid,Valid
11-06-2011 00:00,NO,NO,1,26.5,28,62,10,1729,3237,4966,Saturday,FALSE,Valid,Valid,Valid
12-06-2011 00:00,NO,NO,1,24.5,25.5,78,11,1467,2993,4460,Sunday,FALSE,Valid,Valid,Valid
13-06-2011 00:00,NO,YES,1,23,22.5,45.5,20,863,4157,5020,Monday,FALSE,Valid,Valid,Valid
14-06-2011 00:00,NO,YES,1,21,21,50,18,727,4164,4891,Tuesday,FALSE,Valid,Valid,Valid
15-06-2011 00:00,NO,YES,1,22.5,22.5,48.5,11,769,4411,5180,Wednesday,FALSE,Valid,Valid,Valid
16-06-2011 00:00,NO,YES,2,22,22,68,13,545,3222,3767,Thursday,FALSE,Valid,Valid,Valid
17-06-2011 00:00,NO,YES,1,22.5,23,83,9,863,3981,4844,Friday,FALSE,Valid,Valid,Valid
18-06-2011 00:00,NO,NO,1,27,28,62,8,1807,3312,5119,Saturday,FALSE,Valid,Valid,Valid
19-06-2011 00:00,NO,NO,2,26,27,67.5,7,1639,3105,4744,Sunday,FALSE,Valid,Valid,Valid
20-06-2011 00:00,NO,YES,2,23,23,78,11,699,3311,4010,Monday,FALSE,Valid,Valid,Valid
21-06-2011 00:00,NO,YES,2,25,26,78,11,774,4061,4835,Tuesday,FALSE,Valid,Valid,Valid
22-06-2011 00:00,NO,YES,1,27.5,30.5,76,12,661,3846,4507,Wednesday,FALSE,Valid,Valid,Valid
23-06-2011 00:00,NO,YES,2,27,29,70,15,746,4044,4790,Thursday,FALSE,Valid,Valid,Valid
24-06-2011 00:00,NO,YES,1,26.5,27,48,15,969,4022,4991,Friday,FALSE,Valid,Valid,Valid
25-06-2011 00:00,NO,NO,1,26,26,48,13,1782,3420,5202,Saturday,FALSE,Valid,Valid,Valid
26-06-2011 00:00,NO,NO,1,26,26,52,7,1920,3385,5305,Sunday,FALSE,Valid,Valid,Valid
27-06-2011 00:00,NO,YES,2,26,27,65,9,854,3854,4708,Monday,FALSE,Valid,Valid,Valid
28-06-2011 00:00,NO,YES,1,28,29.5,68,11,732,3916,4648,Tuesday,FALSE,Valid,Valid,Valid
29-06-2011 00:00,NO,YES,1,27,27,42,18,848,4377,5225,Wednesday,FALSE,Valid,Valid,Valid
30-06-2011 00:00,NO,YES,1,26,26,42,13,1027,4488,5515,Thursday,FALSE,Valid,Valid,Valid
01-07-2011 00:00,NO,YES,1,26,26,42,9,1246,4116,5362,Friday,FALSE,Valid,Valid,Valid
02-07-2011 00:00,NO,NO,1,28,28.5,47.5,7,2204,2915,5119,Saturday,FALSE,Valid,Valid,Valid
03-07-2011 00:00,NO,NO,2,25.5,26.5,70,12,2282,2367,4649,Sunday,FALSE,Valid,Valid,Valid
04-07-2011 00:00,YES,YES,2,28,30,62,6,3065,2978,6043,Monday,FALSE,Valid,Valid,Valid
05-07-2011 00:00,NO,YES,1,29,30,62,7,1031,3634,4665,Tuesday,FALSE,Valid,Valid,Valid
06-07-2011 00:00,NO,YES,1,27,29,74,11,784,3845,4629,Wednesday,FALSE,Valid,Valid,Valid
07-07-2011 00:00,NO,YES,1,28,30.5,62,11,754,3838,4592,Thursday,FALSE,Valid,Valid,Valid
08-07-2011 00:00,NO,YES,2,26,27,78.5,15,692,3348,4040,Friday,FALSE,Valid,Valid,Valid
09-07-2011 00:00,NO,NO,1,28,29,58,11,1988,3348,5336,Saturday,FALSE,Valid,Valid,Valid
10-07-2011 00:00,NO,NO,1,28,30,61,13,1743,3138,4881,Sunday,FALSE,Valid,Valid,Valid
11-07-2011 00:00,NO,YES,1,27.5,29.5,61,19,723,3363,4086,Monday,FALSE,Valid,Valid,Valid
12-07-2011 00:00,NO,YES,1,31,32,52,13,662,3596,4258,Tuesday,FALSE,Valid,Valid,Valid
13-07-2011 00:00,NO,YES,1,28,29,58,11,748,3594,4342,Wednesday,FALSE,Valid,Valid,Valid
14-07-2011 00:00,NO,YES,1,24.5,24.5,48.5,17,888,4196,5084,Thursday,FALSE,Valid,Valid,Valid
15-07-2011 00:00,NO,YES,1,24,24,55.5,13,1318,4220,5538,Friday,FALSE,Valid,Valid,Valid
16-07-2011 00:00,NO,NO,1,26,27,56,15,2418,3505,5923,Saturday,FALSE,Valid,Valid,Valid
17-07-2011 00:00,NO,NO,1,27.5,29,60,15,2006,3296,5302,Sunday,FALSE,Valid,Valid,Valid
18-07-2011 00:00,NO,YES,1,28.5,30.5,66,15,841,3617,4458,Monday,FALSE,Valid,Valid,Valid
19-07-2011 00:00,NO,YES,1,29,33,66,9,752,3789,4541,Tuesday,FALSE,Valid,Valid,Valid
20-07-2011 00:00,NO,YES,1,29,34,70,7,644,3688,4332,Wednesday,FALSE,Valid,Valid,Valid
21-07-2011 00:00,NO,YES,2,32,41,71,15,632,3152,3784,Thursday,FALSE,Valid,Valid,Valid
22-07-2011 00:00,NO,YES,1,33,38,57.5,7,562,2825,3387,Friday,FALSE,Valid,Valid,Valid
23-07-2011 00:00,NO,NO,1,32,36,52,9,987,2298,3285,Saturday,FALSE,Valid,Valid,Valid
24-07-2011 00:00,NO,NO,1,32,36,55,10,1050,2556,3606,Sunday,FALSE,Valid,Valid,Valid
25-07-2011 00:00,NO,YES,1,28,31,79,6,568,3272,3840,Monday,FALSE,Valid,Valid,Valid
26-07-2011 00:00,NO,YES,1,29.5,30.5,47.5,15,750,3840,4590,Tuesday,FALSE,Valid,Valid,Valid
27-07-2011 00:00,NO,YES,1,29.5,29.5,43.5,14,755,3901,4656,Wednesday,FALSE,Valid,Valid,Valid
28-07-2011 00:00,NO,YES,1,30,34,56,13,606,3784,4390,Thursday,FALSE,Valid,Valid,Valid
29-07-2011 00:00,NO,YES,1,33,35.5,46.5,13,670,3176,3846,Friday,FALSE,Valid,Valid,Valid
30-07-2011 00:00,NO,NO,1,30.5,32,47.5,11,1559,2916,4475,Saturday,FALSE,Valid,Valid,Valid
31-07-2011 00:00,NO,NO,1,30,32,55,11,1524,2778,4302,Sunday,FALSE,Valid,Valid,Valid
01-08-2011 00:00,NO,YES,1,28,29,56.5,12,729,3537,4266,Monday,FALSE,Valid,Valid,Valid
02-08-2011 00:00,NO,YES,1,31,32,47.5,15,801,4044,4845,Tuesday,FALSE,Valid,Valid,Valid
03-08-2011 00:00,NO,YES,2,28,29,58,9,467,3107,3574,Wednesday,FALSE,Valid,Valid,Valid
04-08-2011 00:00,NO,YES,2,26,27,74,14,799,3777,4576,Thursday,FALSE,Valid,Valid,Valid
05-08-2011 00:00,NO,YES,1,26,27,65,15,1023,3843,4866,Friday,FALSE,Valid,Valid,Valid
06-08-2011 00:00,NO,NO,2,27,30,78,15,1521,2773,4294,Saturday,FALSE,Valid,Valid,Valid
07-08-2011 00:00,NO,NO,1,27,29,84,13,1298,2487,3785,Sunday,FALSE,Valid,Valid,Valid
08-08-2011 00:00,NO,YES,1,29,31,56.5,10,846,3480,4326,Monday,FALSE,Valid,Valid,Valid
09-08-2011 00:00,NO,YES,1,30,30.5,57,11,907,3695,4602,Tuesday,FALSE,Valid,Valid,Valid
10-08-2011 00:00,NO,YES,1,29,29,39,14,884,3896,4780,Wednesday,FALSE,Valid,Valid,Valid
11-08-2011 00:00,NO,YES,1,26.5,26.5,42,11,812,3980,4792,Thursday,FALSE,Valid,Valid,Valid
12-08-2011 00:00,NO,YES,1,26.5,26.5,42,9,1051,3854,4905,Friday,FALSE,Valid,Valid,Valid
13-08-2011 00:00,NO,NO,2,25,26,74,13,1504,2646,4150,Saturday,FALSE,Valid,Valid,Valid
14-08-2011 00:00,NO,NO,2,24,25,83.5,14,1338,2482,3820,Sunday,FALSE,Valid,Valid,Valid
15-08-2011 00:00,NO,YES,1,24,24,69,15,775,3563,4338,Monday,FALSE,Valid,Valid,Valid
16-08-2011 00:00,NO,YES,1,26,27,58,16,721,4004,4725,Tuesday,FALSE,Valid,Valid,Valid
17-08-2011 00:00,NO,YES,1,27.5,28,56.5,11,668,4026,4694,Wednesday,FALSE,Valid,Valid,Valid
18-08-2011 00:00,NO,YES,1,25,25.5,67.5,17,639,3166,3805,Thursday,FALSE,Valid,Valid,Valid
19-08-2011 00:00,NO,YES,2,23.5,24.5,80.5,6,797,3356,4153,Friday,FALSE,Valid,Valid,Valid
20-08-2011 00:00,NO,NO,1,26.5,27.5,67,9,1914,3277,5191,Saturday,FALSE,Valid,Valid,Valid
21-08-2011 00:00,NO,NO,1,26,28,79,17,1249,2624,3873,Sunday,FALSE,Valid,Valid,Valid
22-08-2011 00:00,NO,YES,1,25.5,26,39.5,20,833,3925,4758,Monday,FALSE,Valid,Valid,Valid
